gen0: 現在0.224 最良0.224 集団max1.769
gen1: 現在0.276 最良0.276 集団max2.089
gen2: 現在0.500 最良0.500 集団max1.543
gen3: 現在1.812 最良1.812 集団max1.228
gen4: 現在2.057 最良2.057 集団max1.907
gen5: 現在1.892 最良2.057 集団max3.267
gen6: 現在1.785 最良2.057 集団max1.396
gen7: 現在1.395 最良2.057 集団max1.545
gen8: 現在1.542 最良2.057 集団max3.053
gen9: 現在1.708 最良2.057 集団max2.091
gen10: 現在1.757 最良2.057 集団max1.148
gen11: 現在1.860 最良2.057 集団max1.601
gen12: 現在2.738 最良2.738 集団max3.373
gen13: 現在2.024 最良2.738 集団max2.299
gen14: 現在4.024 最良4.024 集団max2.145
gen15: 現在2.212 最良4.024 集団max1.550
gen16: 現在1.799 最良4.024 集団max2.379
gen17: 現在2.654 最良4.024 集団max3.572
gen18: 現在2.051 最良4.024 集団max1.924
gen19: 現在2.091 最良4.024 集団max2.034
gen20: 現在2.676 最良4.024 集団max4.405
gen21: 現在3.389 最良4.024 集団max1.391
gen22: 現在2.489 最良4.024 集団max5.937
gen23: 現在4.361 最良4.361 集団max2.881
gen24: 現在2.888 最良4.361 集団max3.121
gen25: 現在4.530 最良4.530 集団max1.429
gen26: 現在4.015 最良4.530 集団max2.644
gen27: 現在3.541 最良4.530 集団max2.432
gen28: 現在4.131 最良4.530 集団max6.040
gen29: 現在4.166 最良4.530 集団max3.295
gen30: 現在4.501 最良4.530 集団max3.199
gen31: 現在2.434 最良4.530 集団max3.924
gen32: 現在0.218 最良4.530 集団max1.847
gen33: 現在3.705 最良4.530 集団max2.151
gen34: 現在3.426 最良4.530 集団max1.945
gen35: 現在3.269 最良4.530 集団max2.269
gen36: 現在3.824 最良4.530 集団max1.677
gen37: 現在0.235 最良4.530 集団max3.487
gen38: 現在4.969 最良4.969 集団max2.430
gen39: 現在2.491 最良4.969 集団max3.731
gen40: 現在5.590 最良5.590 集団max4.807
gen41: 現在4.688 最良5.590 集団max1.621
gen42: 現在3.095 最良5.590 集団max3.330
gen43: 現在1.625 最良5.590 集団max5.003
gen44: 現在0.722 最良5.590 集団max5.060
gen45: 現在0.966 最良5.590 集団max4.683
gen46: 現在2.190 最良5.590 集団max3.153
gen47: 現在4.058 最良5.590 集団max4.517
gen48: 現在5.377 最良5.590 集団max2.185
gen49: 現在2.961 最良5.590 集団max4.726
gen50: 現在2.847 最良5.590 集団max2.061
gen51: 現在4.194 最良5.590 集団max6.117
gen52: 現在6.173 最良6.173 集団max2.361
gen53: 現在6.184 最良6.184 集団max4.479
gen54: 現在6.262 最良6.262 集団max4.582
gen55: 現在6.147 最良6.262 集団max1.569
gen56: 現在5.406 最良6.262 集団max6.340
gen57: 現在6.235 最良6.262 集団max5.421
gen58: 現在4.595 最良6.262 集団max4.437
gen59: 現在6.223 最良6.262 集団max6.347
gen60: 現在6.169 最良6.262 集団max3.236
gen61: 現在5.577 最良6.262 集団max4.043
gen62: 現在6.167 最良6.262 集団max1.818
gen63: 現在6.197 最良6.262 集団max6.121
gen64: 現在6.202 最良6.262 集団max6.095
gen65: 現在6.216 最良6.262 集団max2.945
gen66: 現在6.218 最良6.262 集団max5.612
gen67: 現在6.217 最良6.262 集団max5.057
gen68: 現在6.286 最良6.286 集団max5.486
gen69: 現在6.212 最良6.286 集団max5.018
gen70: 現在0.204 最良6.286 集団max5.047
gen71: 現在6.234 最良6.286 集団max3.588
gen72: 現在6.185 最良6.286 集団max6.166
gen73: 現在4.220 最良6.286 集団max2.420
gen74: 現在0.236 最良6.286 集団max4.514
gen75: 現在6.219 最良6.286 集団max1.930
gen76: 現在6.222 最良6.286 集団max6.197
gen77: 現在5.097 最良6.286 集団max4.295
gen78: 現在6.292 最良6.292 集団max5.994
gen79: 現在6.308 最良6.308 集団max6.269
DONE
